Break - 1,Break - 2,Break - 3,Break - 4
890=75537795601,125=75664241937.0,556=37782020894.0,456=75992342069.0
155=37782021746.0,230=75562056559.0,166=37782020894.0,223=37782020932.0
688=37768898614.0,380=75569725226.0,117=37768897800,135=75664140937.0
159=76005474192.0,888=12589632587,479=26264246.0,240=76016603104.0
111=12589632587,300=37774462218.0,455=37782020894.0,200=37774463070.0
130=75556492315.0,589=75551028647.0,150=75537795524,267=75537795524
367=75674140860.0,350=75569725303.0,277=37768897762,699=37768897762
146=75551028647.0,288=37768898652.0,457=75550927647.0,112=37782020894.0
559=37768897800,229=37768897762,689=75550927647.0,222=12589632587
289=75550927724.0,337=37768897762,134=75664241937.0,228=37768898614.0
167=75537795524,777=12590179032.0,566=37782020932.0,123=76228768495.0
557=37768897800,579=75550928647.0,133=37782020932.0,177=37768897762
100=37768898615.0,446=37782020894.0,279=75564160847.0,468=75550928724.0
236=75674241860.0,899=37768897762,466=37782020894.0,369=75564160847.0
250=75569624303.0,266=37782020894.0,338=37768897762,788=37768897762
227=37768898614.0,600=37774462218.0,157=75550927647.0,335=37782021746.0
278=75537795601,580=75564059770.0,233=37782021784.0,880=37768897762
149=75564059770.0,116=37782021784.0,390=75556593103.0,669=37768898614.0
780=75550927647.0,256=75550927647.0,128=75687374195.0,444=12590179032.0
148=75564059770.0,480=75556493103.0,370=31828702.0,226=13123132.0
460=24261035.0,450=75543360057.0,790=75550927647.0,225=37782020932.0
347=75550927647.0,667=37768897800,555=12589744820.0,339=37768897762
467=75550927724.0,700=37768897800,489=75537896524.0,260=75562057636.0
336=37782021746.0,377=37768897800,147=75564160770.0,257=75564059770.0
678=75661009737.0,670=75556492103.0,577=37768897800,238=75537795524
280=18696579.0,168=75564059770.0,122=37782020894.0,120=75543359980.0
679=75551028647.0,349=75537795524,244=13123132.0,770=37768897762
345=75651009737.0,458=75550927724.0,258=75564059770.0,269=75564059847.0
440=37774463108.0,199=37768897800,449=37768897800,139=75550927647.0
156=75537896524.0,490=75543359980.0,448=37768897762,247=75564059770.0
560=75543460980.0,469=75564059847.0,359=75550927724.0,690=75556492103.0
366=37782020894.0,140=75556492103.0,158=75564059770.0,124=75664140937.0
388=37768897800,445=37782020894.0,234=75651008814.0,115=37782020932.0
599=37768897762,180=75550927724.0,160=75543360057.0,399=37768898614.0
114=37782020894.0,500=37768897762,344=37782021746.0,360=75575188759.0
666=12590179044.0,478=75550927724.0,178=75674140860.0,239=75550927647.0
358=75564059770.0,249=75564059770.0,334=13123132.0,357=76005474192.0
778=37768898614.0,270=75569624303.0,590=75537795524,379=75550927724.0
330=37774462218.0,129=75551029859.0,340=75562056636.0,145=126345336.0
368=75564059847.0,459=75537896601.0,113=37782020894.0,119=37768898614.0
255=37782021746.0,136=26264246.0,990=37768898652.0,400=37774462218.0
356=75550927647.0,237=75537896524.0,346=75550927647.0,588=37768898614.0
800=37768898652.0,568=75550927724.0,110=37768898614.0,779=37768897762
246=75550928647.0,245=75664241860.0,235=126345336.0,248=76005474192.0
447=37768897762,170=75551028724.0,169=75564059770.0,144=37782020932.0
138=75564160770.0,999=12589632599,259=75564059770.0,
268=76128687405.0,220=37774462218.0,348=75537795524,
499=37768898614.0,333=12589632599,889=37768897762,
137=75674141860.0,900=37768897800,567=75537796601.0,
188=37768897800,558=37768898652.0,470=75569725226.0,
570=75564160770.0,569=13132123.0,126=75537795601,
789=75992342069.0,189=75551028724.0,224=37782021784.0,
660=37774463070.0,179=75550927724.0,355=37782020894.0,
378=75537896601.0,799=37768897762,477=37768898652.0,
680=76011038648.0,578=13132123.0,290=75556593103.0,
